reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
0.71,68,-0.71,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
49.86,15729.14286,11.86,61.71,14178.42857,-42.85714286,18.85714286,13246.57143,115.4285714,134.2857143,28617.57143,-110,24.28571429,16918.42857,59.78571429,18240.25,1,4.26
4.29,80.42857143,5.14,9.43,1039.571429,14.57142857,24,-2912.428571,-9.285714286,14.71428571,12507.85714,-8.285714286,6.428571429,1406.571429,13.64285714,3010.392857,1,3.48
26.29,1404.571429,0.71,27.00,2631.428571,-0.142857143,26.85714286,3937.714286,2.428571429,29.28571429,1518.857143,10.14285714,39.42857143,4584.857143,30.64285714,3168.214286,1,3.50
0.14,11.57142857,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
101.00,66746.28571,-78.43,22.57,10822.71429,-9.571428571,13,3623,-3.428571429,9.571428571,1630.285714,55.14285714,64.71428571,4364.428571,27.46428571,5110.107143,1,3.71
0.14,8.428571429,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
4.00,1764.571429,-2.29,1.71,1045.285714,-1.571428571,0.142857143,-0.142857143,0.714285714,0.857142857,83.42857143,-0.857142857,0,0,0.678571429,282.1428571,1,2.45
0.29,18,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.86,15.71428571,-0.14,0.71,36.42857143,9.857142857,10.57142857,706.2857143,-9.571428571,1,169.1428571,-0.857142857,0.142857143,34.71428571,3.107142857,236.6428571,1,2.38
0.57,571,0.71,1.29,950.4285714,-0.571428571,0.714285714,433.4285714,-0.714285714,0,0,2.714285714,2.714285714,1934.571429,1.178571429,829.6071429,1,2.92
0.14,-3184.142857,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,4.714285714,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.86,41,-0.86,0.00,0,0.285714286,0.285714286,33.14285714,0,0.285714286,2.428571429,0.285714286,0.571428571,2.285714286,0.285714286,9.464285714,1,1.02
0.43,0,-0.43,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,6422.428571,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
1.00,17.57142857,-0.29,0.71,10.57142857,-0.285714286,0.428571429,23.71428571,-0.428571429,0,0,0.428571429,0.428571429,4.714285714,0.392857143,9.75,1,1.03
0.43,-32.85714286,-0.29,0.14,-13.14285714,0.857142857,1,-39.14285714,0.142857143,1.142857143,-30,-1,0.142857143,-0.142857143,0.607142857,-20.60714286,1,1.29
0.14,-254.1428571,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2.29,-492.2857143,-1.86,0.43,0,3,3.428571429,62.14285714,-1.857142857,1.571428571,49.14285714,0.428571429,2,25,1.857142857,34.07142857,1,1.54
